"???","????","??","???","?(%)"
"0","??","6715","4945","73.64"
"1","???","428","68","15.89"
"2","???","115","13","11.30"
"3","???","150","17","11.33"
"4","???","139","46","33.09"
"5","???","100","18","18.00"
"6","???","119","22","18.49"
"7","???","165","16","9.70"
"8","???","150","25","16.67"
"9","???","195","121","62.05"
"10","???","118","112","94.92"
"11","???","124","115","92.74"
"12","???","245","239","97.55"
"13","???","256","251","98.05"
"14","????","138","136","98.55"
"15","???","222","10","4.50"
"16","???","93","87","93.55"
"17","???","112","110","98.21"
"18","???","96","93","96.88"
"19","???","127","121","95.28"
"20","???","158","6","3.80"
"21","???","138","134","97.10"
"22","???","151","146","96.69"
"23","???","163","161","98.77"
"24","???","149","138","92.62"
"25","???","106","105","99.06"
"26","???","97","96","98.97"
"27","???","46","44","95.65"
"28","???","275","265","96.36"
"29","???","110","106","96.36"
"30","????","108","107","99.07"
"31","???","87","83","95.40"
"32","???","141","127","90.07"
"33","???","193","184","95.34"
"34","???","143","137","95.80"
"35","???","168","159","94.64"
"36","???","105","102","97.14"
"37","???","105","101","96.19"
"38","???","166","164","98.80"
"39","???","90","85","94.44"
"40","???","107","104","97.20"
"41","???","110","106","96.36"
"42","???","127","113","88.98"
"43","???","116","105","90.52"
"44","???","113","106","93.81"
"45","???","109","108","99.08"
"46","????","161","154","95.65"
"47","???","81","79","97.53"
